ID_Number,ID,Site_Name,Special Site Name,Longitiude_E,Latitude_N,Altitude_MASL,Era,Culture,ID_Number,Date_Start,Date_End,NonGrave_Structure,Grave_Type,Number_Chullpa,Number_Cave,Number_Subterranean,ID_Number,Number_Platform,Burials_NUM,Burials,Ceramic_NUM,Ceramic,Ceramic_Type,Ceramic_Type_Num,Metal_Num,Metal,ID_Number,MNI,Adult_Male,Adult_Female,Adule_Indeterminate,Total_Adult,Total_Subadult,Total_Infant
1,BRIA_1,AC02,NONE,180121,9007534,3252,EIP,Recuay,1,200,700,Residential,NONE,0,0,0,1,0,0,No,1,Yes,Recuay,1,0,No,1,0,0,0,0,0,0,0
2,BRIA_2,AC08,NONE,180026,9007139,3361,LIP,Recuay Casma inf,2,700,1000,Corral,Chullpa,3,0,0,2,0,1,Looted,1,Yes,Akillpo,3,0,No,2,0,0,0,0,0,0,0
3,BRIA_3,HY02,NONE,182633,9017914,2793,EIP(P),Recuay,3,200,700,NONE,Chullpa on Platform,1,0,0,3,1,0,No,0,No,NONE,0,0,No,3,0,0,0,0,0,0,0
4,BRIA_4,HY03,Cashacoto,177790,9018318,3150,EIP,Recuay,4,200,700,Residential,Chullpa,2,0,0,4,0,1,Looted,0,No,NONE,0,0,No,4,0,0,0,0,0,0,0
5,BRIA_5,HY04,Parian Punta,178037,9022821,3565,EIP,Recuay,5,200,700,Platform,Chullpa,1,0,0,5,0,1,Looted,1,Yes,Kaolin,2,0,No,5,0,0,0,0,0,0,0
6,BRIA_6,HU01,Hualcayan,192358,9015200,3250,LF On,Recuay_Various,6,0,1000,Mound & Patio,Chullpa & Subterranean,2,0,4,6,0,1,Yes,1,Yes,Kaolin,2,1,Yes,6,129,35,25,19,79,18,0
7,BRIA_7,HU02,Cruz Punta,190534,9013954,2965,LIP,Recuay,7,700,1000,Residential,NONE,0,0,0,7,0,0,No,1,Yes,Akillpo,3,1,Yes,7,0,0,0,0,0,0,0
8,BRIA_8,SC01,Wayumarca,193259,9006910,3239,EIP,Recuay,8,200,700,Mound,Chullpa,1,0,0,8,0,1,Looted,1,Yes,Recuay,1,0,No,8,0,0,0,0,0,0,0
9,BRIA_9,SC03,Cementario Katiama,194311,9006605,3400,EIP(P),Recuay,9,200,700,Platform,Chullpa on Platform,1,0,2,9,1,1,Looted,0,No,NONE,0,0,No,9,0,0,0,0,0,0,0
10,BRIA_10,SC05,Pariamarca,193609,9005770,3307,LF On,Recuay,10,0,1000,Platform,Subterranean,0,0,2,10,0,0,No,0,No,NONE,0,0,No,10,0,0,0,0,0,0,0
11,BRIA_11,SC06,NONE,192796,9007889,3111,EIP(P),Recuay,11,200,700,NONE,Subterranean,0,0,3,11,0,1,Looted,0,No,NONE,0,0,No,11,0,0,0,0,0,0,0
